Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval
"['month' 'quarter' '60day_return' 'williams_r' 'high_close_diff'
 'fear_greed' 'cci' 'stochastic_oscillator' '7day_std' '5day_return' 'vix'
 'obv_ema' 'timestamp' 'momentum' 'obv' 'roc' 'macd' '30day_return'
 'price_rate_of_change' 'bollinger_bands' 'close' 'daily_return'
 '7day_sma' 'daily_variation' 'sentiment' '7day_sma+2std' '15day_return'
 'volume' '7day_sma-2std' 'open' 'low' 'high' 'obv_roc' 'low_open_diff'
 'atr' '14day_ema']",0.0009317444637417793,0.40571233832188186,0.021321770972652285,0.0009290827007735129,0.030480857940246908,0.05939831422915573
"['month' 'fear_greed' '60day_return' 'quarter' '15day_return' '7day_std'
 'volume' 'stochastic_oscillator' 'timestamp' 'roc' 'bollinger_bands'
 'williams_r' 'price_rate_of_change' '30day_return' 'close' '5day_return'
 'vix' 'daily_return' 'momentum' '7day_sma' 'obv' 'low_open_diff' 'cci'
 '7day_sma+2std' 'high_close_diff' 'macd' 'atr' 'low' 'high' 'sentiment'
 'open' 'obv_ema' 'obv_roc' 'daily_variation' '7day_sma-2std']",0.0008766423561610281,0.4362625611058754,0.021630889365149977,0.000877314838771592,0.029619500987889583,0.05800446627953528
"['month' 'quarter' '60day_return' 'fear_greed' 'timestamp'
 'stochastic_oscillator' 'macd' 'high_close_diff' 'bollinger_bands'
 '7day_sma+2std' '15day_return' 'high' '7day_std' 'daily_return' 'obv_ema'
 '30day_return' 'price_rate_of_change' 'roc' 'close' 'low' 'vix'
 'williams_r' '7day_sma' 'low_open_diff' 'cci' 'obv' 'volume'
 '5day_return' 'atr' 'obv_roc' 'sentiment' 'open' 'momentum'
 'daily_variation']",0.0009939477313309908,0.3789064638817487,0.022440884703777437,0.0009886330618593228,0.03144253586877691,0.06146426748487765
"['month' 'quarter' '60day_return' '30day_return' '7day_sma+2std'
 '7day_sma' 'bollinger_bands' '7day_std' 'fear_greed' 'timestamp' 'cci'
 'close' '15day_return' '5day_return' 'high_close_diff' 'open' 'roc'
 'macd' 'atr' 'vix' 'stochastic_oscillator' 'price_rate_of_change' 'high'
 'obv_ema' 'daily_return' 'low_open_diff' 'williams_r' 'low' 'obv'
 'obv_roc' 'volume' 'sentiment' 'momentum']",0.0008812220185063779,0.4388984829614574,0.02117248278462178,0.0008810971371752337,0.029683280431502743,0.05817783953866989
"['month' '60day_return' 'quarter' 'stochastic_oscillator' 'roc'
 'fear_greed' '30day_return' 'obv' '7day_sma+2std' 'volume' '7day_std'
 '15day_return' 'williams_r' 'atr' 'macd' 'price_rate_of_change'
 '5day_return' 'cci' 'low_open_diff' 'bollinger_bands' 'timestamp' 'open'
 'close' 'high_close_diff' 'daily_return' 'obv_ema' 'vix' '7day_sma' 'low'
 'high' 'obv_roc' 'sentiment']",0.0008169001084752381,0.4851900977273273,0.020818043392438385,0.0008142617256387866,0.02853527160618568,0.05592531099768184
"['month' 'quarter' '15day_return' '60day_return' 'cci' 'fear_greed'
 'bollinger_bands' 'stochastic_oscillator' 'williams_r' '30day_return'
 '7day_std' 'price_rate_of_change' 'daily_return' 'timestamp'
 '7day_sma+2std' 'close' 'high_close_diff' 'roc' 'macd' 'atr'
 '5day_return' 'obv_roc' 'high' 'obv' 'low' '7day_sma' 'volume' 'vix'
 'open' 'obv_ema' 'low_open_diff']",0.0008557855617254972,0.44725596101223053,0.021004696366395154,0.0008557222001359881,0.029252729789474147,0.05732591451389535
"['month' 'quarter' '7day_std' 'timestamp' 'cci' 'obv_ema'
 'bollinger_bands' 'williams_r' 'fear_greed' 'volume' '15day_return'
 'open' 'vix' 'close' 'stochastic_oscillator' 'high_close_diff'
 '30day_return' 'high' 'daily_return' '7day_sma' 'macd'
 'price_rate_of_change' 'roc' 'low' 'obv' '7day_sma+2std' 'atr'
 '5day_return' '60day_return' 'obv_roc']",0.0009240937069989741,0.406383271946409,0.021280286524491442,0.0009217892198066465,0.030360981864996504,0.05941933841856538
"['month' 'quarter' '7day_std' '60day_return' 'fear_greed'
 'stochastic_oscillator' 'roc' 'timestamp' 'bollinger_bands'
 'high_close_diff' 'high' '5day_return' 'obv' 'open' '15day_return'
 'obv_ema' 'vix' 'daily_return' '7day_sma+2std' 'cci' 'close' 'low'
 '30day_return' 'price_rate_of_change' 'volume' 'williams_r' 'atr' 'macd'
 '7day_sma']",0.0008805806282907724,0.4391842113643507,0.02106088822481479,0.0008788471260300141,0.029645355893124545,0.05810362346059073
"['month' 'quarter' '7day_std' 'bollinger_bands' 'vix' '60day_return' 'cci'
 '30day_return' 'volume' '15day_return' 'macd' 'fear_greed' 'close' 'low'
 'open' '5day_return' 'daily_return' 'stochastic_oscillator' 'high'
 'timestamp' '7day_sma+2std' 'obv_ema' 'atr' 'obv' 'price_rate_of_change'
 'high_close_diff' 'williams_r' 'roc']",0.0009254614124074578,0.3988946431461191,0.02199450635935086,0.0009232274286122417,0.03038465778336563,0.05948587006340969
"['month' 'quarter' 'stochastic_oscillator' '60day_return' 'obv'
 '15day_return' '7day_std' 'high_close_diff' 'fear_greed' 'williams_r'
 'bollinger_bands' 'timestamp' 'open' 'daily_return' 'macd' 'low'
 '30day_return' 'price_rate_of_change' 'vix' 'obv_ema' 'cci' 'high'
 '7day_sma+2std' 'volume' '5day_return' 'close' 'atr']",0.0008955564117059112,0.4242977543514508,0.02154616180330442,0.0008924233923581496,0.02987345631757647,0.05855081891398986
"['month' 'quarter' 'stochastic_oscillator' '60day_return' 'fear_greed'
 'timestamp' 'bollinger_bands' 'high' 'high_close_diff' '15day_return'
 'low' 'cci' '7day_sma+2std' '7day_std' 'close' 'vix' 'obv_ema'
 'williams_r' 'macd' 'obv' 'daily_return' 'volume' 'price_rate_of_change'
 'open' '30day_return' '5day_return']",0.0008805227116681635,0.44133857737394416,0.021156107514833235,0.000880979900721038,0.029681305576423653,0.05801147633939844
"['month' 'quarter' '60day_return' '7day_std' 'volume' 'fear_greed'
 '15day_return' '7day_sma+2std' 'timestamp' 'vix' 'bollinger_bands'
 'close' 'obv_ema' 'cci' 'high_close_diff' 'high' 'price_rate_of_change'
 'stochastic_oscillator' '30day_return' 'open' 'low' 'williams_r'
 'daily_return' 'obv' 'macd']",0.0008481696713715792,0.45423217516195474,0.02133562076941625,0.0008462206626099247,0.029089872165582384,0.05698659616152202
