Features Used,Model Performance,Correlation Coefficient,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,95% Confidence Interval

"['5day_return' 'month' 'timestamp' 'obv_ema' 'roc' 'volume' 'quarter'
 'price_rate_of_change' '60day_return' '7day_std' 'stochastic_oscillator'
 'vix' '30day_return' 'williams_r' '15day_return' 'obv' 'high_close_diff'
 'macd' 'cci' '7day_sma+2std' 'fear_greed' '7day_sma-2std' 'close'
 'low_open_diff' 'low' 'atr' '7day_sma' 'high' 'obv_roc' 'open'
 '14day_ema' 'daily_return' 'bollinger_bands' 'daily_variation' 'momentum'
 'sentiment']",0.0009286697604693472,0.40127477245647497,0.021880456828731222,0.0009815083046306222,0.03132903293481339,0.061334258625183574

"['month' '5day_return' 'stochastic_oscillator' 'quarter'
 'price_rate_of_change' 'high_close_diff' '15day_return' '7day_std'
 '60day_return' 'williams_r' 'daily_variation' 'obv_roc' 'fear_greed'
 'timestamp' 'macd' 'vix' 'volume' 'obv_ema' '30day_return'
 '7day_sma-2std' 'bollinger_bands' 'daily_return' 'cci' 'obv'
 'low_open_diff' 'high' 'atr' 'open' 'momentum' '7day_sma+2std' 'close'
 '14day_ema' 'roc' 'low' '7day_sma']",0.0009130144317168742,0.47789971065657044,0.020861475088148437,0.0009016813205211106,0.03002800893367908,0.05852261550621715

"['month' '5day_return' 'quarter' 'high_close_diff' 'roc'
 'price_rate_of_change' 'timestamp' '60day_return' 'stochastic_oscillator'
 'williams_r' 'cci' '30day_return' 'obv_ema' '15day_return' '7day_std'
 'volume' 'low' 'vix' 'daily_variation' 'daily_return' 'macd' 'obv'
 'low_open_diff' '7day_sma+2std' 'bollinger_bands' 'momentum' 'obv_roc'
 '7day_sma-2std' 'high' 'open' 'close' '14day_ema' 'atr' 'fear_greed']",0.0009082148026209325,0.4979035237455288,0.020431796822866756,0.0008628921664152358,0.029375026236843363,0.057557963704641675

"['month' 'quarter' 'high_close_diff' '5day_return' 'stochastic_oscillator'
 '60day_return' 'timestamp' 'williams_r' '7day_std' 'volume' 'obv_ema'
 '15day_return' 'price_rate_of_change' 'macd' '30day_return' 'obv'
 '7day_sma+2std' 'bollinger_bands' 'roc' 'open' 'momentum' 'low' 'vix'
 'low_open_diff' '14day_ema' 'cci' 'obv_roc' 'daily_variation' 'high'
 'atr' '7day_sma-2std' 'close' 'daily_return']",0.0009112580883083865,0.40162050929572346,0.021343747869650032,0.00100057781712763,0.031631911373289315,0.06179765404219201

"['month' 'quarter' '60day_return' 'williams_r' '5day_return' 'timestamp'
 'price_rate_of_change' 'stochastic_oscillator' 'roc' 'atr' '7day_std'
 'obv_ema' 'vix' '15day_return' '30day_return' 'macd' 'high_close_diff'
 'volume' 'cci' 'obv' 'high' 'momentum' '7day_sma+2std' '14day_ema'
 'bollinger_bands' 'low' 'obv_roc' 'low_open_diff' '7day_sma-2std' 'open'
 'close' 'daily_variation']",0.0009341520053567365,0.4625230476121117,0.019873377737677514,0.0009128956766310414,0.030214163510364496,0.059170975154070805
